ID_author;automated_readability_index;coleman_liau_index;flesch_kincaid_grade_level;flesch_reading_ease;gulpease_index;gunning_fog_index;lix;smog_index;wiener_sachtextformel
30;7,7931E+16;7,80E+15;7,73E+16;7,17E+15;6,27E+15;1,13E+16;3,63E+16;1,09E+16;3,98E+16
31;6,95184E+15;8,20E+15;7,68E+16;6,71E+15;6,46E+15;1,19E+16;3,67E+15;1,16E+16;4,89E+15
32;3,47063E+15;6,59E+15;5,23E+15;7,18E+15;82125;32;205;31291;44885
33;4,23181E+16;5,77E+15;5,23E+14;8,10E+15;7,13E+15;7,80E+14;3,09E+16;8,34E+15;2,41E+15
34;5,25021E+15;6,50E+15;6,10E+14;7,68E+15;6,85E+15;9,60E+14;3,05E+16;9,86E+15;2,96E+15
35;5,45924E+15;2,58E+16;3,45E+16;8,73E+15;8,39E+15;6,72E+15;2,00E+15;7,88E+15;7,68E+15
36;2,07566E+16;3,93E+15;4,19E+14;8,49E+15;7,78E+15;8,05E+15;2,65E+15;8,84E+15;2,08E+16
37;3,62787E+16;5,16E+15;5,39E+15;7,93E+14;7,28E+15;8,90E+13;2,78E+16;9,41E+15;2,49E+16
38;5,58824E+15;7,28E+15;5,79E+15;7,77E+15;6,82E+15;8,66E+15;3,30E+15;9,11E+15;3,05E+15
39;4,65118E+15;5,93E+15;5,17E+16;6,40E+15;1,25E+16;6,07E+15;3,28E+16;6,74E+15;3,86E+14
40;3,00407E+15;5,24E+16;4,52E+15;8,18E+14;7,64E+15;7,79E+15;2,64E+15;8,66E+15;2,14E+16
41;4,2863E+15;6,55E+15;5,57E+15;7,56E+15;7,27E+15;8,08E+15;3,11E+15;8,84E+15;2,92E+16
42;9,50614E+14;1,11E+16;8,67E+15;6,09E+15;5,91E+15;1,06E+15;3,75E+16;1,06E+16;4,55E+15
43;2,35211E+15;4,38E+15;3,27E+15;9,10E+15;7,77E+15;5,82E+15;2,62E+16;6,74E+15;1,04E+15
44;1,91957E+16;4,51E+16;3,50E+16;8,56E+15;830;6,36E+15;2,16E+16;7,65E+16;1,02E+16
45;8,04457E+15;6,48E+15;8,61E+15;7,07E+14;630;1,16E+16;3,53E+16;1,06E+16;35952
46;1,29205E+16;2,75E+16;3,12E+15;9,35E+15;7,89E+15;5,81E+14;1,88E+15;6,43E+14;-1,54E+16
47;7,38701E+15;5,61E+16;8,66E+15;7,06E+15;6,44E+15;1,26E+16;3,57E+15;1,16E+16;4,06E+15
48;1,6654E+16;4,40E+15;3,84E+15;7,87E+15;946;89;2225;8,84E+15;2,86E+16
49;4,16211E+15;5,30E+15;4,69E+14;8,64E+14;7,10E+15;7,40E+15;2,83E+16;7,67E+15;1,57E+16
