ID_author;sent_neg;sent_neu;sent_pos;sent_compound
365;22;752;28;-968
366;0;936;64;3378
367;17;705;125;-9362
368;0;7,49E+15;251;6553
369;6;925;69;9619
370;104;758;139;9119
371;126;831;44;-9451
372;13;78;9;-6315
373;237;763;0;-967
374;59;8,08E+15;133;9605
375;0;10;0;0
376;11;782;108;-164
377;31;8,96E+15;7,20E+15;8056
378;115;823;62;-8791
379;135;773;92;-7713
380;99;7,51E+15;15;647
381;123;76;118;-4036
382;453;547;0;-9696
383;157;843;0;-5499
384;252;655;92;-9507
385;274;58;147;-8031
386;95;8,19E+15;87;-597
387;0;818;182;9577
388;17;753;77;-9474
389;8;6,92E+15;228;9611
390;199;8,01E+15;0;-9765
391;23;77;0;-9179
392;55;903;42;-1431
393;48;7,39E+15;213;8679
394;177;5,72E+15;251;8758
395;5;843;108;8996
396;0;588;412;8442
397;22;8,49E+15;129;9141
398;214;741;45;-995
399;0;747;253;9109
400;0;601;399;9274
401;146;652;202;7401
402;157;737;106;-7914
403;192;655;152;-9693
404;116;884;0;-7745
405;254;6,71E+15;7,40E+15;-9811
406;134;785;81;-8311
407;104;845;51;-9445
408;81;847;71;844
409;134;747;12;-7148
410;151;748;101;-7181
411;24;76;2,16E+16;8787
412;38;871;91;8,19E+15
413;154;713;133;-2278
414;179;605;2,16E+16;705
415;38;878;84;9444
416;32;906;62;4389
417;38;8,81E+15;81;4877
418;77;846;77;-4497
419;1,69E+16;69;141;-8582
420;189;667;1,44E+16;-8,01E+15
421;49;836;115;9043
422;34;899;67;1433
423;93;8,06E+15;1;-163
424;162;777;61;-8993
425;0;893;107;775
428;139;693;1,67E+16;644
429;188;632;18;-128
430;25;778;197;9231
431;212;679;109;-9917
432;1;83;7;-5491
433;132;748;12;-8447
434;85;6,89E+15;226;8863
435;134;7,83E+15;83;-8951
436;183;735;83;-9932
437;0;746;254;9968
438;0;883;117;4696
439;117;76;122;-5079
440;68;8,06E+15;127;8994
441;264;6,61E+15;7,40E+15;-9649
442;115;696;189;6797
443;0;915;85;3612
444;0;807;193;8427
445;83;785;133;8971
446;56;841;103;921
449;151;647;202;9927
450;5,40E+16;897;49;-4557
451;4;8,54E+15;106;75
452;0;918;8,20E+15;743
453;131;8,69E+15;0;-7904
454;108;8,27E+15;65;-8047
455;75;8,08E+15;116;9749
456;75;873;5,20E+16;-9414
457;12;687;193;7,44E+15
458;6;8,74E+15;66;-96
459;77;8,24E+15;99;6634
460;218;7,61E+15;2;-9721
461;28;916;56;6546
462;129;7,24E+15;147;-126
463;152;677;171;-504
464;8;8,06E+15;114;9418
465;311;63;59;-9808
466;147;745;108;-9586
467;1;794;106;567
468;0;797;203;6553
469;55;883;62;6124
470;8;805;115;3695
471;98;77;133;894
472;97;795;108;5603
